Subject,Treatment,Day,Metric,Value
SROF017,TRAINING1,5,d'_loglinear_corrected,0.6514409450397576
SROF017,TRAINING1,6,d'_loglinear_corrected,0.7212715661564203
SROF017,TRAINING1,7,d'_loglinear_corrected,0.35378761813791454
SROF017,TRAINING1,8,d'_loglinear_corrected,0.02175891196550922
SROF017,TRAINING1,9,d'_loglinear_corrected,0.5128726381199911
SROF017,TRAINING1,10,d'_loglinear_corrected,0.8870508508841223
SROF017,TRAINING1,11,d'_loglinear_corrected,0.671771683955223
SROF017,TRAINING1,12,d'_loglinear_corrected,0.8816691101573233
SROF017,TRAINING1,13,d'_loglinear_corrected,0.6179368933828715
SROF017,TRAINING1,14,d'_loglinear_corrected,0.8687350503093683
SROF017,TRAINING1,15,d'_loglinear_corrected,0.6617345070125069
SROF017,TRAINING1,16,d'_loglinear_corrected,1.282428105070574
SROF017,TRAINING1,17,d'_loglinear_corrected,1.0100302007906428
SROF017,TRAINING1,18,d'_loglinear_corrected,1.3784416119459557
SROF017,TRAINING1,19,d'_loglinear_corrected,0.7109933361209411
SROF017,TRAINING1,20,d'_loglinear_corrected,0.763919435989825
SROF017,TRAINING1,21,d'_loglinear_corrected,0.6680252918397032
SROF017,TRAINING1,22,d'_loglinear_corrected,0.9843577511458834
SROF017,TRAINING1,23,d'_loglinear_corrected,1.5346027560261475
SROF017,TRAINING1,24,d'_loglinear_corrected,1.3405502850695459
SROF017,TRAINING1,25,d'_loglinear_corrected,0.9869129369967058
SROF017,TRAINING1,26,d'_loglinear_corrected,0.6226210728237769
SROF017,TRAINING1,27,d'_loglinear_corrected,0.7580652025295356
SROF017,TRAINING1,28,d'_loglinear_corrected,0.5291566253484715
SROF017,TRAINING1,29,d'_loglinear_corrected,0.6918992078604724
SROF017,TRAINING1,30,d'_loglinear_corrected,1.6780507756455747
SROF017,TRAINING1,31,d'_loglinear_corrected,1.4987092178905392
SROF018,TRAINING1,1,d'_loglinear_corrected,1.0353006610053963
SROF018,TRAINING1,2,d'_loglinear_corrected,0.6742171411013371
SROF018,TRAINING1,3,d'_loglinear_corrected,-0.5791321622555559
SROF018,TRAINING1,4,d'_loglinear_corrected,0.2831483282480862
SROF018,TRAINING1,5,d'_loglinear_corrected,0.22854736375987078
SROF018,TRAINING1,6,d'_loglinear_corrected,0.47830894553037906
SROF018,TRAINING1,7,d'_loglinear_corrected,1.0104060432857442
SROF018,TRAINING1,8,d'_loglinear_corrected,0.8791567238576541
SROF018,TRAINING1,9,d'_loglinear_corrected,1.1609092644977976
SROF018,TRAINING1,10,d'_loglinear_corrected,1.0058234236293129
SROF018,TRAINING1,11,d'_loglinear_corrected,1.1527190246104042
SROF018,TRAINING1,12,d'_loglinear_corrected,0.7399358702280077
SROF018,TRAINING1,13,d'_loglinear_corrected,1.380032858403962
SROF018,TRAINING1,14,d'_loglinear_corrected,0.7970705940848845
SROF018,TRAINING1,15,d'_loglinear_corrected,2.2495819984345875
SROF018,TRAINING1,16,d'_loglinear_corrected,1.8488683333969378
SROF020,TRAINING1,1,d'_loglinear_corrected,0.8225360783118343
SROF020,TRAINING1,2,d'_loglinear_corrected,0.7619252087561443
SROF020,TRAINING1,3,d'_loglinear_corrected,0.4137719982774676
SROF020,TRAINING1,4,d'_loglinear_corrected,0.635916675048279
SROF020,TRAINING1,5,d'_loglinear_corrected,1.0038856101008695
SROF020,TRAINING1,6,d'_loglinear_corrected,0.9360249210781146
SROF020,TRAINING1,7,d'_loglinear_corrected,1.5745430020661773
SROF020,TRAINING1,8,d'_loglinear_corrected,0.8765422182319971
SROF020,TRAINING1,9,d'_loglinear_corrected,1.5018299299819267
SROF020,TRAINING1,10,d'_loglinear_corrected,0.17002852804204593
SROF020,TRAINING1,11,d'_loglinear_corrected,1.0495025983752884
SROF020,TRAINING1,12,d'_loglinear_corrected,0.492702079265112
SROF020,TRAINING1,13,d'_loglinear_corrected,1.6362051844081464
SROF020,TRAINING1,14,d'_loglinear_corrected,1.1737433603455876
SROF012,TRAINING2,1,d'_loglinear_corrected,0.5415114224230958
SROF012,TRAINING2,2,d'_loglinear_corrected,0.7082043224257222
SROF012,TRAINING2,3,d'_loglinear_corrected,1.038568117119759
SROF012,TRAINING2,4,d'_loglinear_corrected,1.1737206156263769
SROF012,TRAINING2,5,d'_loglinear_corrected,1.3188085950565998
SROF012,TRAINING2,6,d'_loglinear_corrected,1.564639744234027
SROF017,TRAINING2,1,d'_loglinear_corrected,0.31465675553674655
SROF017,TRAINING2,2,d'_loglinear_corrected,0.6331812145171799
SROF017,TRAINING2,3,d'_loglinear_corrected,1.0671767643209495
SROF017,TRAINING2,4,d'_loglinear_corrected,1.712292810572299
SROF017,TRAINING2,5,d'_loglinear_corrected,1.490585271644234
SROF018,TRAINING2,1,d'_loglinear_corrected,0.03640366234694398
SROF018,TRAINING2,2,d'_loglinear_corrected,0.492363219751603
SROF018,TRAINING2,3,d'_loglinear_corrected,-0.27188000539926077
SROF018,TRAINING2,4,d'_loglinear_corrected,0.6100181329525426
SROF018,TRAINING2,5,d'_loglinear_corrected,1.674929631961219
SROF018,TRAINING2,6,d'_loglinear_corrected,1.2536219124516377
SROF018,TRAINING2,7,d'_loglinear_corrected,0.7573498026378839
SROF018,TRAINING2,8,d'_loglinear_corrected,1.6419113162977825
SROF018,TRAINING2,9,d'_loglinear_corrected,1.0840978068991731
SROF020,TRAINING2,1,d'_loglinear_corrected,-0.006651505421097159
SROF020,TRAINING2,2,d'_loglinear_corrected,-0.0841249344535255
SROF020,TRAINING2,3,d'_loglinear_corrected,0.23340492107088476
SROF020,TRAINING2,4,d'_loglinear_corrected,0.30592406837832337
