"Subject","Condition","Day_of_training","Stimuli","Hits","Misses","Rejects","False_alarms","Response_time_s","PC","DP","Response_bias","Trial_number","Condition_stimuli","Subject_condition"
"SRCF014","Naive",5,"Tones",26,9,19,24,0.809370241165161,57.6923076923077,0.488494902145769,-0.387154443166877,78,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",6,"Tones",32,20,40,7,0.79777735318893,72.7272727272727,1.29767904552957,0.361150646484798,99,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",7,"Tones",18,7,26,12,0.61547642548879,69.8412698412698,1.02415002421023,-0.0458097507344815,63,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",8,"Tones",54,16,44,23,0.747382461250602,71.5328467153285,1.12824332730698,-0.166862653194139,137,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",9,"Tones",69,39,78,15,0.763979216416677,73.134328358209,1.3266326948562,0.31122618010747,201,"Naive.Tones","SRCF014.Naive"
"SROF012","Naive",1,"Tones",135,63,61,102,0.585488861623193,54.2936288088643,0.1515902833132,-0.394434505620975,361,"Naive.Tones","SROF012.Naive"
"SROF012","Naive",2,"Tones",65,61,114,55,0.642995448907216,60.6779661016949,0.489164743267685,0.205097653286044,295,"Naive.Tones","SROF012.Naive"
"SROF012","Naive",3,"Tones",127,61,149,76,0.589503735744307,66.8280871670702,0.869232379871959,-0.0180437212940665,413,"Naive.Tones","SROF012.Naive"
"SROF012","Naive",4,"Tones",88,42,111,45,0.65530624784025,69.5804195804196,1.00929650466518,0.0492947788294947,286,"Naive.Tones","SROF012.Naive"
"SROF012","Naive",5,"Tones",132,72,136,51,0.55459646449063,68.5421994884911,0.976413194759655,0.112744827144309,391,"Naive.Tones","SROF012.Naive"
"SROF012","Naive",6,"Tones",145,59,165,51,0.501830267662905,73.8095238095238,1.26759896331913,0.0811271532530258,420,"Naive.Tones","SROF012.Naive"
"SROF012","Naive",7,"Tones",101,46,137,26,0.563683564268698,76.7741935483871,1.47197363149362,0.251976260850173,310,"Naive.Tones","SROF012.Naive"
"SROF017","Naive",1,"Tones",228,125,109,172,0.536602163910866,53.1545741324921,0.0893881885750636,-0.328452222766104,634,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",2,"Tones",182,94,99,224,0.421591586667329,46.9115191986644,-0.0947785296500457,-0.456701593193081,599,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",3,"Tones",187,98,105,183,0.508050829011041,50.9598603839442,0.0554814461740749,-0.37272817233588,573,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",4,"Tones",190,87,101,166,0.554252017749829,53.4926470588235,0.173621351525231,-0.395625112587817,544,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",5,"Tones",182,55,99,112,0.664243309676242,62.7232142857143,0.651440945039758,-0.402650455458902,448,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",6,"Tones",189,52,126,139,0.639880297387519,62.2529644268775,0.72127156615642,-0.42192632945314,506,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",7,"Tones",169,87,135,148,0.625366455372952,56.4007421150278,0.353787618137914,-0.234295329198228,539,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",8,"Tones",203,90,91,198,0.673380816666563,50.5154639175258,0.0217589119655093,-0.491150771294967,582,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",9,"Tones",198,54,108,168,0.627798729906968,57.9545454545455,0.512872638119991,-0.531335753318649,528,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",10,"Tones",84,31,80,51,0.775675930800261,66.6666666666667,0.887050850884122,-0.164601269683724,246,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",11,"Tones",120,25,66,101,0.779975175857544,59.6153846153846,0.671771683955222,-0.600032818803534,312,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",12,"Tones",121,37,96,74,0.621793193083543,66.1585365853659,0.881669110157323,-0.278884302446575,328,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",13,"Tones",218,67,142,167,0.694674795324152,60.6060606060606,0.617936893382871,-0.41021487862196,594,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",14,"Tones",187,35,100,123,0.681722516398276,64.4943820224719,0.868735050309369,-0.563413299938579,445,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",15,"Tones",91,33,60,56,0.927663639289181,62.9166666666667,0.661734507012507,-0.288005787042375,240,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",16,"Tones",185,34,154,99,0.680550034617034,71.8220338983051,1.28242810507058,-0.366407113794444,472,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",17,"Tones",162,35,124,107,0.747641605072305,66.8224299065421,1.01003020079064,-0.413047948481409,428,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",18,"Tones",119,31,121,48,0.589598729938804,75.2351097178683,1.37844161194596,-0.122035419217791,319,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",19,"Tones",94,26,64,71,0.686603963736332,61.9607843137255,0.710993336120941,-0.420050290261907,255,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",20,"Tones",183,52,101,101,0.588620133802924,64.9885583524027,0.763919435989825,-0.381959717994913,437,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",21,"Tones",234,58,105,139,0.734742925889371,63.2462686567164,0.668025291839702,-0.508828297172129,536,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",22,"Tones",185,43,102,86,0.775127638749971,68.9903846153846,0.984357751145884,-0.385878350928316,416,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",23,"Tones",230,21,138,106,0.703254924643607,74.3434343434343,1.53460275602615,-0.602865161712901,495,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",24,"Tones",200,16,101,117,0.740912951881577,69.3548387096774,1.34055028506955,-0.761969803732987,434,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",25,"Tones",110,25,81,69,0.90571107811102,67.0175438596491,0.986912936996706,-0.393690090520523,285,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",26,"Tones",57,14,24,34,0.811181752236335,62.7906976744186,0.622621072823777,-0.525360012829484,129,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",27,"Tones",116,20,49,77,0.825807153869787,62.9770992366412,0.758065202529534,-0.658967360273428,262,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",28,"Tones",153,31,65,99,0.876572726264833,62.6436781609195,0.691899207860474,-0.607148156926154,348,"Naive.Tones","SROF017.Naive"
"SROF017","Naive",29,"Tones",234,16,130,99,0.649263869534742,75.9916492693111,1.67805077564557,-0.669288917823413,479,"Naive.Tones","SROF017.Naive"
